A	u	Z	coefficient
0	4	2	890274044503874693335701600
0	4	1	22736769926912429635831803120
0	4	0	138530791413335757674831593176
0	3	5	49200066069717178368
0	3	4	155478852727100309099520
0	3	3	33098974137971147153528064
0	3	2	2683374598492673196935539584
0	3	1	61780730611678162999099993368
0	3	0	357144970387770484222712540868
0	2	5	225438711694186493952
0	2	4	309693023840510539107840
0	2	3	55881283794468383939753088
0	2	2	4452355141220257149203997408
0	2	1	97640956839159085681424294496
0	2	0	548313000130214897930417202588
0	1	5	447133842983942811648
0	1	4	245661503719960554900480
0	1	3	50376244422333714183074304
0	1	2	3881154425889874862251125504
0	1	1	83337272699124149065908752688
0	1	0	461468762508199882824101523348
0	0	5	328019916672918226944
0	0	4	10766623448964744866304
0	0	3	18894736263035201533067520
0	0	2	1392176769558175166262548544
0	0	1	29738704857726515350674749544
0	0	0	163809404138168418203489295666
