# FIX-VII-GATE candidate 6, p=67: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 15 9 5 4 1 60
0 15 9 3 5 2 16
0 15 9 2 0 8 9
0 15 9 1 6 3 63
0 15 9 0 1 9 53
0 15 8 9 0 2 42
0 15 8 7 1 3 58
0 15 8 5 2 4 39
0 15 8 3 3 5 65
0 15 8 2 9 0 36
0 15 8 1 4 6 8
0 15 8 0 10 1 22
0 15 7 8 4 0 11
0 15 7 6 5 1 29
0 15 7 5 0 7 5
0 15 7 4 6 2 64
0 15 7 3 1 8 4
0 15 7 2 7 3 37
0 15 7 1 2 9 4
0 15 7 0 8 4 51
0 15 6 12 0 1 23
0 15 6 10 1 2 49
0 15 6 8 2 3 51
0 15 6 6 3 4 15
0 15 6 4 4 5 46
0 15 6 3 10 0 15
0 15 6 2 5 6 8
0 15 6 1 0 12 53
0 15 6 0 6 7 52
0 15 5 9 5 0 41
0 15 5 8 0 6 36
0 15 5 7 6 1 11
0 15 5 6 1 7 37
0 15 5 5 7 2 60
0 15 5 4 2 8 32
0 15 5 3 8 3 3
0 15 5 2 3 9 19
0 15 5 1 9 4 16
0 15 5 0 4 10 34
0 15 4 13 1 1 21
0 15 4 11 2 2 33
0 15 4 7 4 4 22
0 15 4 5 5 5 3
0 15 4 4 11 0 65
0 15 4 4 0 11 1
0 15 4 3 6 6 35
0 15 4 2 12 1 26
0 15 4 2 1 12 36
0 15 4 1 7 7 12
0 15 4 0 13 2 56
0 15 4 0 2 13 40
0 15 3 11 0 5 36
0 15 3 10 6 0 2
0 15 3 9 1 6 40
0 15 3 8 7 1 3
0 15 3 7 2 7 30
0 15 3 6 8 2 33
0 15 3 5 3 8 26
0 15 3 4 9 3 21
0 15 3 3 4 9 18
0 15 3 2 10 4 61
0 15 3 1 5 10 39
0 15 3 0 11 5 41
0 15 3 0 0 16 15
0 15 2 16 1 0 41
0 15 2 14 2 1 7
0 15 2 12 3 2 52
0 15 2 10 4 3 26
0 15 2 8 5 4 6
