A	B	Y	Z	coefficient
27	1	9	1	-23053680412378511655889315738023484702261248000
27	1	8	2	1076328299658106764245034128279491457295974400
27	0	11	0	-2194954978346434255915643993399829552574464000
27	0	10	1	948494881847597334599858833247111343747072000
27	0	9	2	-78527073802030964888839685617021532356608000
27	0	8	3	1616120343745152738497182419835433818521600
26	2	10	0	-9396650101585162835638265891907907355443200
26	1	11	0	2625875856912312343538416953256056032673792000
26	1	10	1	-294046728262558716485735775019451943567360000
26	0	12	0	-10884531907628110277999344328996959617024000
26	0	11	1	18526329911998902283472806100533446082560000
26	0	10	2	-1129034605209480514876349065659309785088000
25	1	12	0	27813753731721354279316768110765625933824000
25	0	13	0	1776919688614311188941944851230599413760000
25	0	12	1	48513081384186627263719937365311160320000
24	0	14	0	38166391594491364197423416574768660480000
37	0	0	0	11071148651002332284568259599749569130024049611745461271
36	1	0	0	7588200898258942312574016272747155438017352634928168540
36	0	1	0	-1153055844566834032142005168459023382173115941078678804
36	0	0	1	1045808153719020748944409036391726121168563924630389224
35	2	0	0	51494033332852029671003549073173358238336718823619344
35	1	1	0	3541138183184429856926589881603648413924342144269484704
35	1	0	1	287064734259942591294029708084916056230595108577916872
35	0	2	0	-20415542327580238472529024230450908807389214278792314004
35	0	1	1	6460089121831958604252404696584454390080486050142003032
35	0	0	2	-440785818115431125617431674192394912055675943132336484
34	3	0	0	8513434628764470736160707847776737604457397120922008
34	2	1	0	-281466346488632248158499638027407421236315465222367696
34	2	0	1	67442293665172763274659729265684484889298911412364080
34	1	2	0	-9254913627983547661319569831412327331164677148255346564
34	1	1	1	2857431716538437983533187239174258549856863639708338736
34	1	0	2	-168080773016539666046900682662207223832474131413880624
34	0	3	0	-14458843202770030660305991188513920400992264620116407352
34	0	2	1	5374376659134880946123648910653478984962363054069976072
34	0	1	2	-570315260315564157279554825945856177881458054576830240
34	0	0	3	17512995873079883754370515011768598264539301682656768
33	4	0	0	-357828593723451163252973275962577338752790199398576
33	3	1	0	-2131930797359935136187506491619560681161705713514240
33	3	0	1	1345398478014128715655137926677295998966566175369824
33	2	2	0	-309362282621811606346789762590849577036896547529608848
33	2	1	1	89768135912504664507573032211076259280637176042849792
33	2	0	2	-4089582949599216746496167915946132850353950202680736
33	1	3	0	-9238833646317710539590086272667287198894131920385989712
33	1	2	1	2762548341842927044527348067189685785316427409020472848
33	1	1	2	-228638986312542921641402686521985081955884753569051456
33	1	0	3	5503692331210769343886799881303839530254182686420736
33	0	4	0	-3260999101692504498320860569874164595221027326306145744
33	0	3	1	1000794501049273041068502970574458099071080006258420640
33	0	2	2	-36524499565934330474912857246095972765497442809477664
33	0	1	3	-7846334336298916966144855000924383205754889802441728
33	0	0	4	454380507064929548919522976747639951853620577958912
32	5	0	0	-8527135244788746777089272161125528756177584142016
32	4	1	0	-879636473148998378538787773239345960844735938361984
32	4	0	1	76534719460228612534673742833528172153009517837824
32	3	2	0	-14199483076278364655789487742806937885600942494785184
32	3	1	1	2436332121593094836790473487345334528493637395411712
