A	B	Y	Z	u	coefficient
0	4	1	0	2	-3129668803584
0	4	1	0	1	-11703198131712
0	4	1	0	0	-313143199727616
0	4	0	1	2	198359290368
0	4	0	1	1	-2305008420480
0	4	0	1	0	-10252440729216
0	4	0	0	4	-826497043200
0	4	0	0	3	-11093426979840
0	4	0	0	2	330848603053056
0	4	0	0	1	1519941837395520
0	4	0	0	0	18514828613047680
0	3	3	0	1	-9741645149184
0	3	3	0	0	-18043348783104
0	3	2	1	0	-19486963618560
0	3	2	0	3	1322395269120
0	3	2	0	2	118398456428544
0	3	2	0	1	3738146946748416
0	3	2	0	0	6106764416333184
0	3	1	1	3	220399211520
0	3	1	1	2	-2049712667136
0	3	1	1	1	282309350035968
0	3	1	1	0	4703967514850688
0	3	1	0	4	-4958982259200
0	3	1	0	3	-607971224977920
0	3	1	0	2	-30335516054440704
0	3	1	0	1	-470267825292969984
0	3	1	0	0	-685204158591461952
0	3	0	2	2	214889231232
0	3	0	2	1	-2716420281984
0	3	0	2	0	105322150801728
0	3	0	1	4	-826497043200
0	3	0	1	3	-9807764912640
0	3	0	1	2	-414253174672512
0	3	0	1	1	-33501479098181760
0	3	0	1	0	-283738952991551616
0	3	0	0	4	670702350556800
0	3	0	0	3	60317037915298560
0	3	0	0	2	1900852718596195680
0	3	0	0	1	19467162838146622176
0	3	0	0	0	25584305517011902896
0	2	4	0	2	3173748645888
0	2	4	0	1	-3438227699712
0	2	4	0	0	-109979206548480
0	2	3	1	1	14480228196864
0	2	3	1	0	13929230168064
0	2	3	0	3	-33059881728000
0	2	3	0	2	-1504621337204736
0	2	3	0	1	3382587918763776
0	2	3	0	0	49168198900362240
0	2	2	2	0	19064531796480
0	2	2	1	3	661197634560
0	2	2	1	2	-142157491430400
0	2	2	1	1	-5679952159924224
0	2	2	1	0	-4731673532398848
0	2	2	0	4	74384733888000
0	2	2	0	3	12774007700881920
0	2	2	0	2	263659763835016704
0	2	2	0	1	-866531568176156160
0	2	2	0	0	-8159011676238324096
0	2	1	2	3	55099802880
0	2	1	2	2	-595077871104
0	2	1	2	1	-198144401136768
0	2	1	2	0	-4951940504391936
0	2	1	1	4	-2479491129600
0	2	1	1	3	104303926851840
0	2	1	1	2	38112919350716160
0	2	1	1	1	756196890759376128
0	2	1	1	0	555422278492210176
0	2	1	0	4	-21471153436771200
0	2	1	0	3	-1641534250322658240
0	2	1	0	2	-20358816622845341184
0	2	1	0	1	85169233111132435104
0	2	1	0	0	596633174735853408192
0	2	0	3	2	55099802880
0	2	0	3	1	-1043222934528
0	2	0	3	0	-58976176049280
0	2	0	2	4	-206624260800
0	2	0	2	3	-661197634560
0	2	0	2	2	303575118957504
0	2	0	2	1	25951337693875008
0	2	0	2	0	330454138972587840
0	2	0	1	4	335351175278400
0	2	0	1	3	-28696197739115520
