A	B	Y	Z	coefficient
13	1	0	3	-686607190375408252267797973057424922135902016989776812224771260416000000000000000000000000
13	1	0	2	4501634950899943050714909615534173110172839407449574160037089182530666496000000000000000000000
13	1	0	1	1409353181042484739979234530127323315526189605329468532293767183829396577320960000000000000000000
13	1	0	0	-797628363143433432995171196760838249145958414367404924449008067823092011740063334400000000000000000
13	0	6	0	466126503786766711593277979908223824030726012477795893573058560000000000000000000000000
13	0	5	1	-594338241731250579017988600770651476323536067872869136203776000000000000000000000000000
13	0	5	0	-863749823239324313966694528562169541951461599037035003725418950819840000000000000000000000
13	0	4	2	63253699734150078292744110968971252134343402610628344414208000000000000000000000000000
13	0	4	1	1297647918642279845049848255638497867992316393570739086703301807308800000000000000000000000
13	0	4	0	524743508319808326612119050792318158345894744661507499860651379970696806400000000000000000000
13	0	3	2	-206082886931231344427927862546527662721015250105043352539159855104000000000000000000000000
13	0	3	1	-877655817568902395491975532311020083087306699790867608396229350340427776000000000000000000000
13	0	3	0	-136642619351722980832690939487628439296284322039994115833741097789340946268160000000000000000000
13	0	2	3	-5436952120091357128664341247125920074670398982974749963305615360000000000000000000000000
13	0	2	2	176492725337336016790185019909816961144753065408778639610260104195080192000000000000000000000
13	0	2	1	239709672569249117736191705611831888017706510928677191103283900197351351910400000000000000000000
13	0	2	0	15828743731072359903794614791083840225177106227752886575490440486215096277873459200000000000000000
13	0	1	4	1431219991146526461556320082551473649634966603181373580640256000000000000000000000000000
13	0	1	3	-2661908043891277006227841339663596126076007647250544587900954502758400000000000000000000000
13	0	1	2	-48147919910278175167481002002079338495090932448592070005912592632179484262400000000000000000000
13	0	1	1	-27076429074711685662749767025574382217871586845027695130971909855163546114981888000000000000000000
13	0	1	0	-707914296287965010468808419203926007945404733532189574187537006983473972195434168320000000000000000
13	0	0	4	-1067266450202848950854678478017767867726794707818881536236153995264000000000000000000000000
13	0	0	3	2260151200916584661561042941918739731515771302052776825115031265492336640000000000000000000000
13	0	0	2	3450530228442990666810034488997759990664100925485520036716296658210045957242880000000000000000000
13	0	0	1	1060849057075286675618665307071654634281539896252937070282164093503346244346361937920000000000000000
13	0	0	0	4510446717814636649698692342113866996226243646057734573770501526082082499986736755507200000000000000
12	6	0	0	-2636705347018232909058388981625553567835338540459648614400000000000000000000000000000
12	5	1	0	722410441229809860064380150654309259477030274811704975032320000000000000000000000000000
12	5	0	1	30498946583362943472054208648963917605891559339477644083200000000000000000000000000000
12	5	0	0	-44052250453352171272393533297915662376051865945452671554572779520000000000000000000000000
12	4	2	0	15345794134674927542228228323575071866097834395286760358674432000000000000000000000000000
12	4	1	1	707120231265481938643212145286429837155341577817265914511360000000000000000000000000000
12	4	1	0	-14567531082656889467047940611262887575191898986947948850224406986752000000000000000000000000
12	4	0	2	5285171307264161189896244937137895225517372292156778086400000000000000000000000000000
12	4	0	1	-656176786181485180682379254233425798585217115330654523266118451200000000000000000000000000
12	4	0	0	3081364103776863446741728811387954346538613098888206482911061331236880384000000000000000000000
12	3	4	0	10728910431482121700925845833931764296022965002506652876800000000000000000000000000000
12	3	3	0	-36339552773814228727233298702499268194797341034979475534643200000000000000000000000000000
12	3	2	1	-3958434513380239242452880629933290724973318219873326601338880000000000000000000000000000
12	3	2	0	33226297079368539311245623873296894282338456858679250490454228493926400000000000000000000000
12	3	1	2	-344801270913213311474819374597651167912289060776634786775040000000000000000000000000000
12	3	1	1	1354562768532556388264366255943778237256733152206229360487274905600000000000000000000000000
12	3	1	0	-11070079499027396269194830191848279921314873086858127439793755116676317184000000000000000000000
12	3	0	3	-8944846801946928090099470854288872826924042674444120883200000000000000000000000000000
12	3	0	2	74605687428157875168560328641586816199946813045947496841766502400000000000000000000000000
12	3	0	1	133439141231371345704876391274004776118115735389726041495364710342590464000000000000000000000
12	3	0	0	1229733010562094169124426944993705928465852433340944169085026001170019081256960000000000000000000
12	2	5	0	-12217353121599854843364396950880238815433558389546182246400000000000000000000000000000
12	2	4	1	-3576303477160707233641948611310588098674321667502217625600000000000000000000000000000
12	2	4	0	38531692971488421679072093073356269805405993713400787028274053120000000000000000000000000
12	2	3	1	22838371707683827552259970867770275540959074730143316161278771200000000000000000000000000
12	2	3	0	-43650150087652839973243172806379674027022220950435184219891588409589760000000000000000000000
12	2	2	2	-1640883555239028952649727751551378774893802891456075056283648000000000000000000000000000
12	2	2	1	-19477723111938217093541085841634245959660612508256829546508316993126400000000000000000000000
12	2	2	0	21110897298208864578043188565719918448026834697392031719076498756101105254400000000000000000000
12	2	1	3	-52352982222126833180015614849515151200203812157235029606400000000000000000000000000000
12	2	1	2	3166699519213101581954280933730986141161015907527402686755901538304000000000000000000000000
12	2	1	1	3934931960783373969280911798831192829355505078983077634924360187110227968000000000000000000000
12	2	1	0	-4277591207215278354601580505384491756780149917140848083488530600852002019737600000000000000000000
12	2	0	4	1402023219968786457640946787834247782030028970200242585600000000000000000000000000000
12	2	0	3	124000235693635968573412496641409312465953996008085597619591577600000000000000000000000000
12	2	0	2	-978756061667423166596331845504823601709875353228983787378586147979526144000000000000000000000
12	2	0	1	1040291102848617761886747913775567918398126623810226035720492938206201774080000000000000000000
12	2	0	0	289699536738361752119301947529345380210443724540139911159726260042585817518964736000000000000000000
12	1	6	0	-21554497911603861137098680843767951942020541627334012174336000000000000000000000000000
12	1	5	1	13556278039226123389594188634361491007554942848113867489280000000000000000000000000000
12	1	5	0	55012026719852576099707235926761114540056850565992810017005240320000000000000000000000000
12	1	4	1	-41815503179698939256221252243855591232392029717679556053885255680000000000000000000000000
12	1	4	0	-44487742610898702046866866995205793670881133564640854452395251310002176000000000000000000000
12	1	3	2	984385070115873471447121088194853282572985101878202351799500800000000000000000000000000
12	1	3	1	35739783045768084120374361322347639217994750305842135826590376919040000000000000000000000000
12	1	3	0	15441938708244159556382459612949132215356838468348363377119670382275382476800000000000000000000
12	1	2	3	226406649809328172699227401315849917462633021541290227007488000000000000000000000000000
12	1	2	2	-3048627300276941886422511531378281929749621268959709870823284565606400000000000000000000000
12	1	2	1	-12003860969240959682344211655923434298607503239250176403229208994263125196800000000000000000000
12	1	2	0	-2332094379229526328763373681912419860838763649855257566275146771015004523069440000000000000000000
12	1	1	4	21197247877026584072138020362786491549942294746825186344960000000000000000000000000000
12	1	1	3	-109429446052962723435023818497866689667121134327987338621885612032000000000000000000000000
12	1	1	2	1430252546577562956652661195843620614863046039365146874365385212283584512000000000000000000000
12	1	1	1	1637635878531233857250462640599201506312064434949762984203624384461213479731200000000000000000000
12	1	1	0	114112311891031238723014543671731736547595162469619204081341985427524600140398592000000000000000000
12	1	0	4	-12682560069785106447887868795468535860814741052587490887807795200000000000000000000000000
12	1	0	3	-32329675445029540215404584814187628395939754185400375164983465811640320000000000000000000000
12	1	0	2	-159656914762043457969240310864685856127314889777722412218482765315290064486400000000000000000000
12	1	0	1	-66242324309865653223014312803648038886253308549995302977275535709826947859087360000000000000000000
12	1	0	0	1118945973255681126988427443100640000602665804109646902957387558798702245835106680832000000000000000
12	0	7	0	23470867818053876482455945499693199972636651108944883535052800000000000000000000000000
12	0	6	1	-12314559840772653519004124440856495965681969011277569196032000000000000000000000000000
12	0	6	0	-88979384324553713577971158259540784207026864405570119585613689651200000000000000000000000
12	0	5	1	55409137560956706861012963273597766213221466640703654249224994816000000000000000000000000
12	0	5	0	102962084337916269043880416467818994926276906226967264781372479141576704000000000000000000000
12	0	4	2	1573760737705123902277538314554959714957918014022698338877440000000000000000000000000000
12	0	4	1	-72664227150170925338258683254227484876845496853499050423902140224241664000000000000000000000
12	0	4	0	-53106128144300670382754858434654605941748554016777228599052351541898693836800000000000000000000
12	0	3	3	-1684054222224000104127680340351870113533156872422471726687846400000000000000000000000000
12	0	3	2	2865907050299756895121009792644798031799178665771042265966110803230720000000000000000000000
12	0	3	1	38506387280393648116859059691772888185818568922554283604555528284212822016000000000000000000000
12	0	3	0	13994064282695550632350242137640366200974512722463953186859874718138821848858624000000000000000000
12	0	2	4	78037178775084858220841653291219706749106549330745747308544000000000000000000000000000
12	0	2	3	2242377622370564572944664613344342995067201996159084367868838753075200000000000000000000000
12	0	2	2	-3870569621091364358252098556459854258863394642514065295756516371934792908800000000000000000000
12	0	2	1	-9252392764957978087222116862802773834890833486974337848685102177257047195648000000000000000000000
12	0	2	0	-1955772464592539030135951374756499454660559155134725266978284834411597408706106490880000000000000000
12	0	1	4	-190911165244339146052897858433589619885818486926142554081926840320000000000000000000000000
12	0	1	3	-573975322248249944227918504229704355773475633185698824819647446150807552000000000000000000000
12	0	1	2	1118898721285164719364840757276402273503128746163222017541005322057343723110400000000000000000000
12	0	1	1	995686282361437500426058609786718657103272251675614312050576289315940983865815859200000000000000000
12	0	1	0	138085573426992260824943608449784163489797674946044772935588764633190707855540808056832000000000000000
12	0	0	5	-3547384848694981380349432050101389431991498538629090753495695360000000000000000000000000
12	0	0	4	76191475576685294425102212996738834785100438203301043374814913322024960000000000000000000000
12	0	0	3	-791840734512073631266726082737828069110741877253095078832151724525250150400000000000000000000
12	0	0	2	-82459377124232817856059166476611507906079640459464939557187848834978938242465792000000000000000000
